Time	Altitude	Temperature	Voltage
38.75	3566	87.5F	9.4
38.8	3564	87.5F	9.4
38.85	3560	87.5F	9.4
38.9	3556	87.5F	9.4
38.95	3554	87.5F	9.4
39	3548	87.5F	9.4
39.05	3548	87.5F	9.4
39.1	3542	87.5F	9.4
39.15	3537	87.5F	9.4
39.2	3533	87.5F	9.4
39.25	3530	87.5F	9.4
39.3	3526	87.5F	9.4
39.35	3525	87.5F	9.4
39.4	3525	87.5F	9.4
39.45	3523	87.5F	9.4
39.5	3527	87.5F	9.4
39.55	3529	87.5F	9.4
39.6	3532	87.5F	9.4
39.65	3529	87.5F	9.4
39.7	3524	87.5F	9.4
39.75	3519	87.5F	9.4
39.8	3512	87.5F	9.4
39.85	3504	87.5F	9.4
39.9	3497	87.5F	9.4
39.95	3491	87.5F	9.4
40	3482	87.5F	9.4
40.05	3476	87.5F	9.4
40.1	3470	87.5F	9.4
40.15	3463	87.5F	9.4
40.2	3459	87.5F	9.4
40.25	3454	87.5F	9.4
40.3	3451	87.5F	9.4
40.35	3448	87.5F	9.4
40.4	3446	87.5F	9.4
40.45	3444	87.5F	9.4
40.5	3443	87.5F	9.4
40.55	3440	87.5F	9.4
40.6	3440	87.5F	9.4
40.65	3440	87.5F	9.4
40.7	3439	87.5F	9.4
40.75	3441	87.5F	9.4
40.8	3445	87.5F	9.4
40.85	3447	87.5F	9.4
40.9	3443	87.5F	9.4
40.95	3439	87.5F	9.4
41	3434	87.5F	9.4
41.05	3433	87.5F	9.4
41.1	3428	87.5F	9.4
41.15	3424	87.5F	9.4
41.2	3418	87.5F	9.4
41.25	3416	87.5F	9.4
41.3	3410	87.5F	9.4
41.35	3409	87.5F	9.4
41.4	3407	87.5F	9.4
41.45	3401	87.5F	9.4
41.5	3393	87.5F	9.4
41.55	3385	87.5F	9.4
41.6	3378	87.5F	9.4
41.65	3370	87.5F	9.4
41.7	3361	87.5F	9.4
41.75	3354	87.5F	9.4
41.8	3348	87.5F	9.4
41.85	3347	87.5F	9.4
41.9	3344	87.5F	9.4
41.95	3341	87.5F	9.4
42	3341	87.5F	9.4
42.05	3340	87.5F	9.4
42.1	3342	87.5F	9.4
42.15	3343	87.5F	9.4
42.2	3344	87.5F	9.4
42.25	3343	87.5F	9.4
42.3	3338	87.5F	9.4
42.35	3336	87.4F	9.4
42.4	3328	87.5F	9.4
42.45	3317	87.5F	9.4
42.5	3307	87.4F	9.4
42.55	3297	87.5F	9.4
42.6	3294	87.4F	9.4
42.65	3290	87.5F	9.4
42.7	3296	87.4F	9.4
42.75	3300	87.5F	9.4
42.8	3299	87.4F	9.4
42.85	3296	87.4F	9.4
42.9	3294	87.4F	9.4
42.95	3290	87.4F	9.4
43	3292	87.4F	9.4
43.05	3285	87.4F	9.4
43.1	3280	87.4F	9.4
43.15	3272	87.4F	9.4
43.2	3266	87.5F	9.4
43.25	3267	87.4F	9.4
43.3	3262	87.4F	9.4
43.35	3254	87.4F	9.4
43.4	3252	87.4F	9.4
43.45	3248	87.4F	9.4
43.5	3244	87.4F	9.4
43.55	3239	87.4F	9.4
43.6	3234	87.4F	9.4
43.65	3228	87.5F	9.4
43.7	3226	87.4F	9.4
43.75	3220	87.4F	9.4
43.8	3215	87.4F	9.4
